"tg","N","prob","w1","w2","w3"
"be doing the",6,2.56788305860551e-06,"be","doing","the"
"be done by",5,2.13990254883793e-06,"be","done","by"
"be done in",5,2.13990254883793e-06,"be","done","in"
"be done with",7,2.9958635683731e-06,"be","done","with"
"be easier to",6,2.56788305860551e-06,"be","easier","to"
"be easy to",5,2.13990254883793e-06,"be","easy","to"
"be eligible for",9,3.85182458790827e-06,"be","eligible","for"
"be enough to",6,2.56788305860551e-06,"be","enough","to"
"be entered to",8,3.42384407814068e-06,"be","entered","to"
"be even better",5,2.13990254883793e-06,"be","even","better"
"be expected to",5,2.13990254883793e-06,"be","expected","to"
"be focused on",5,2.13990254883793e-06,"be","focused","on"
"be forced to",8,3.42384407814068e-06,"be","forced","to"
"be found in",9,3.85182458790827e-06,"be","found","in"
"be found on",5,2.13990254883793e-06,"be","found","on"
"be friends with",5,2.13990254883793e-06,"be","friends","with"
"be full of",5,2.13990254883793e-06,"be","full","of"
"be fun but",5,2.13990254883793e-06,"be","fun","but"
"be fun to",9,3.85182458790827e-06,"be","fun","to"
"be getting a",7,2.9958635683731e-06,"be","getting","a"
"be given to",6,2.56788305860551e-06,"be","given","to"
"be giving away",5,2.13990254883793e-06,"be","giving","away"
"be glad you",5,2.13990254883793e-06,"be","glad","you"
"be going to",14,5.99172713674619e-06,"be","going","to"
"be good for",5,2.13990254883793e-06,"be","good","for"
"be good to",7,2.9958635683731e-06,"be","good","to"
"be grateful for",8,3.42384407814068e-06,"be","grateful","for"
"be great if",6,2.56788305860551e-06,"be","great","if"
"be great to",10,4.27980509767585e-06,"be","great","to"
"be happy and",5,2.13990254883793e-06,"be","happy","and"
"be happy to",19,8.13162968558412e-06,"be","happy","to"
"be hard to",8,3.42384407814068e-06,"be","hard","to"
"be held accountable",5,2.13990254883793e-06,"be","held","accountable"
"be held at",9,3.85182458790827e-06,"be","held","at"
"be held from",5,2.13990254883793e-06,"be","held","from"
"be held in",7,2.9958635683731e-06,"be","held","in"
"be here and",5,2.13990254883793e-06,"be","here","and"
"be here in",5,2.13990254883793e-06,"be","here","in"
"be honest and",5,2.13990254883793e-06,"be","honest","and"
"be honest i",12,5.13576611721102e-06,"be","honest","i"
"be hosting a",5,2.13990254883793e-06,"be","hosting","a"
"be in a",31,1.32673958027951e-05,"be","in","a"
"be in his",6,2.56788305860551e-06,"be","in","his"
"be in my",8,3.42384407814068e-06,"be","in","my"
"be in place",5,2.13990254883793e-06,"be","in","place"
"be in the",73,3.12425772130337e-05,"be","in","the"
"be in town",5,2.13990254883793e-06,"be","in","town"
"be in your",7,2.9958635683731e-06,"be","in","your"
"be included in",6,2.56788305860551e-06,"be","included","in"
"be interested in",18,7.70364917581653e-06,"be","interested","in"
"be interesting to",13,5.56374662697861e-06,"be","interesting","to"
"be invited to",5,2.13990254883793e-06,"be","invited","to"
"be involved in",7,2.9958635683731e-06,"be","involved","in"
"be it is",5,2.13990254883793e-06,"be","it","is"
"be just as",10,4.27980509767585e-06,"be","just","as"
"be known as",5,2.13990254883793e-06,"be","known","as"
"be like a",5,2.13990254883793e-06,"be","like","a"
"be like that",6,2.56788305860551e-06,"be","like","that"
"be like to",5,2.13990254883793e-06,"be","like","to"
"be live tweeting",6,2.56788305860551e-06,"be","live","tweeting"
"be looking at",5,2.13990254883793e-06,"be","looking","at"
"be looking for",6,2.56788305860551e-06,"be","looking","for"
"be made to",6,2.56788305860551e-06,"be","made","to"
"be more than",7,2.9958635683731e-06,"be","more","than"
"be moved to",5,2.13990254883793e-06,"be","moved","to"
"be much more",5,2.13990254883793e-06,"be","much","more"
"be necessary to",5,2.13990254883793e-06,"be","necessary","to"
"be nice if",11,4.70778560744344e-06,"be","nice","if"
"be nice to",15,6.41970764651378e-06,"be","nice","to"
"be on a",6,2.56788305860551e-06,"be","on","a"
"be on it",7,2.9958635683731e-06,"be","on","it"
"be on the",54,2.31109475274496e-05,"be","on","the"
"be on twitter",7,2.9958635683731e-06,"be","on","twitter"
"be one of",46,1.96871034493089e-05,"be","one","of"
"be open to",12,5.13576611721102e-06,"be","open","to"
"be out of",12,5.13576611721102e-06,"be","out","of"
"be out there",10,4.27980509767585e-06,"be","out","there"
"be part of",42,1.79751814102386e-05,"be","part","of"
"be plenty of",6,2.56788305860551e-06,"be","plenty","of"
"be possible to",5,2.13990254883793e-06,"be","possible","to"
"be prepared for",6,2.56788305860551e-06,"be","prepared","for"
"be prepared to",11,4.70778560744344e-06,"be","prepared","to"
"be proud of",8,3.42384407814068e-06,"be","proud","of"
"be reached for",10,4.27980509767585e-06,"be","reached","for"
"be ready for",16,6.84768815628136e-06,"be","ready","for"
"be ready to",20,8.5596101953517e-06,"be","ready","to"
"be released in",6,2.56788305860551e-06,"be","released","in"
"be released on",5,2.13990254883793e-06,"be","released","on"
"be removed from",7,2.9958635683731e-06,"be","removed","from"
"be replaced by",6,2.56788305860551e-06,"be","replaced","by"
"be required to",10,4.27980509767585e-06,"be","required","to"
"be responsible for",6,2.56788305860551e-06,"be","responsible","for"
"be said for",6,2.56788305860551e-06,"be","said","for"
"be seen in",7,2.9958635683731e-06,"be","seen","in"
"be sent to",7,2.9958635683731e-06,"be","sent","to"
"be so much",9,3.85182458790827e-06,"be","so","much"
"be subject to",7,2.9958635683731e-06,"be","subject","to"
"be such a",8,3.42384407814068e-06,"be","such","a"
"be sure and",6,2.56788305860551e-06,"be","sure","and"
"be sure that",9,3.85182458790827e-06,"be","sure","that"
"be sure to",64,2.73907526251255e-05,"be","sure","to"
"be sure you",7,2.9958635683731e-06,"be","sure","you"
"be surprised if",6,2.56788305860551e-06,"be","surprised","if"
"be taken to",5,2.13990254883793e-06,"be","taken","to"
"be talking about",7,2.9958635683731e-06,"be","talking","about"
"be thankful for",7,2.9958635683731e-06,"be","thankful","for"
"be that the",7,2.9958635683731e-06,"be","that","the"
"be that way",7,2.9958635683731e-06,"be","that","way"
"be the best",30,1.28394152930276e-05,"be","the","best"
"be the case",10,4.27980509767585e-06,"be","the","case"
"be the final",5,2.13990254883793e-06,"be","the","final"
"be the first",31,1.32673958027951e-05,"be","the","first"
"be the last",10,4.27980509767585e-06,"be","the","last"
"be the most",20,8.5596101953517e-06,"be","the","most"
"be the next",7,2.9958635683731e-06,"be","the","next"
"be the one",18,7.70364917581653e-06,"be","the","one"
"be the only",18,7.70364917581653e-06,"be","the","only"
"be the perfect",6,2.56788305860551e-06,"be","the","perfect"
"be the right",5,2.13990254883793e-06,"be","the","right"
"be the same",31,1.32673958027951e-05,"be","the","same"
"be the worst",6,2.56788305860551e-06,"be","the","worst"
"be there for",13,5.56374662697861e-06,"be","there","for"
"be there i",6,2.56788305860551e-06,"be","there","i"
"be there in",5,2.13990254883793e-06,"be","there","in"
"be there to",7,2.9958635683731e-06,"be","there","to"
"be this way",5,2.13990254883793e-06,"be","this","way"
"be time to",7,2.9958635683731e-06,"be","time","to"
"be told i",6,2.56788305860551e-06,"be","told","i"
"be too late",6,2.56788305860551e-06,"be","too","late"
"be trying to",10,4.27980509767585e-06,"be","trying","to"
"be up to",8,3.42384407814068e-06,"be","up","to"
"be used as",11,4.70778560744344e-06,"be","used","as"
"be used by",7,2.9958635683731e-06,"be","used","by"
"be used for",11,4.70778560744344e-06,"be","used","for"
"be used in",5,2.13990254883793e-06,"be","used","in"
"be used to",22,9.41557121488687e-06,"be","used","to"
"be waiting for",5,2.13990254883793e-06,"be","waiting","for"
"be watching the",7,2.9958635683731e-06,"be","watching","the"
"be where i",5,2.13990254883793e-06,"be","where","i"
"be willing to",13,5.56374662697861e-06,"be","willing","to"
"be wiped out",5,2.13990254883793e-06,"be","wiped","out"
"be with you",15,6.41970764651378e-06,"be","with","you"
"be working on",5,2.13990254883793e-06,"be","working","on"
"be worth it",5,2.13990254883793e-06,"be","worth","it"
"be worth the",7,2.9958635683731e-06,"be","worth","the"
"beautiful day for",5,2.13990254883793e-06,"beautiful","day","for"
"beautiful day in",8,3.42384407814068e-06,"beautiful","day","in"
"beauty of the",10,4.27980509767585e-06,"beauty","of","the"
"became one of",5,2.13990254883793e-06,"became","one","of"
"became the first",13,5.56374662697861e-06,"became","the","first"
"because all the",5,2.13990254883793e-06,"because","all","the"
"because he didnt",5,2.13990254883793e-06,"because","he","didnt"
"because he had",7,2.9958635683731e-06,"because","he","had"
"because he has",7,2.9958635683731e-06,"because","he","has"
"because he is",17,7.27566866604895e-06,"because","he","is"
"because he was",26,1.11274932539572e-05,"because","he","was"
"because i am",19,8.13162968558412e-06,"because","i","am"
"because i can",6,2.56788305860551e-06,"because","i","can"
"because i cant",6,2.56788305860551e-06,"because","i","cant"
"because i didnt",10,4.27980509767585e-06,"because","i","didnt"
"because i dont",17,7.27566866604895e-06,"because","i","dont"
"because i had",9,3.85182458790827e-06,"because","i","had"
"because i have",22,9.41557121488687e-06,"because","i","have"
"because i knew",5,2.13990254883793e-06,"because","i","knew"
"because i know",14,5.99172713674619e-06,"because","i","know"
"because i like",8,3.42384407814068e-06,"because","i","like"
"because i love",9,3.85182458790827e-06,"because","i","love"
"because i really",7,2.9958635683731e-06,"because","i","really"
"because i think",10,4.27980509767585e-06,"because","i","think"
"because i want",7,2.9958635683731e-06,"because","i","want"
"because i was",16,6.84768815628136e-06,"because","i","was"
"because i will",6,2.56788305860551e-06,"because","i","will"
"because if you",5,2.13990254883793e-06,"because","if","you"
"because im not",6,2.56788305860551e-06,"because","im","not"
"because it has",7,2.9958635683731e-06,"because","it","has"
"because it is",38,1.62632593711682e-05,"because","it","is"
"because it was",30,1.28394152930276e-05,"because","it","was"
"because it would",7,2.9958635683731e-06,"because","it","would"
"because its a",5,2.13990254883793e-06,"because","its","a"
"because its not",5,2.13990254883793e-06,"because","its","not"
"because its the",5,2.13990254883793e-06,"because","its","the"
"because of a",25,1.06995127441896e-05,"because","of","a"
"because of all",7,2.9958635683731e-06,"because","of","all"
"because of an",7,2.9958635683731e-06,"because","of","an"
"because of her",5,2.13990254883793e-06,"because","of","her"
"because of his",16,6.84768815628136e-06,"because","of","his"
"because of injuries",5,2.13990254883793e-06,"because","of","injuries"
"because of its",10,4.27980509767585e-06,"because","of","its"
"because of my",6,2.56788305860551e-06,"because","of","my"
"because of that",9,3.85182458790827e-06,"because","of","that"
"because of the",124,5.30695832111806e-05,"because","of","the"
"because of their",9,3.85182458790827e-06,"because","of","their"
"because of this",12,5.13576611721102e-06,"because","of","this"
"because of what",5,2.13990254883793e-06,"because","of","what"
"because one of",6,2.56788305860551e-06,"because","one","of"
"because she is",10,4.27980509767585e-06,"because","she","is"
"because she was",7,2.9958635683731e-06,"because","she","was"
"because that is",5,2.13990254883793e-06,"because","that","is"
"because thats what",5,2.13990254883793e-06,"because","thats","what"
"because there are",8,3.42384407814068e-06,"because","there","are"
"because there is",11,4.70778560744344e-06,"because","there","is"
"because there was",8,3.42384407814068e-06,"because","there","was"
"because they are",33,1.41233568223303e-05,"because","they","are"
"because they dont",6,2.56788305860551e-06,"because","they","dont"
"because they had",6,2.56788305860551e-06,"because","they","had"
"because they have",9,3.85182458790827e-06,"because","they","have"
"because they re",8,3.42384407814068e-06,"because","they","re"
"because they were",18,7.70364917581653e-06,"because","they","were"
"because this is",5,2.13990254883793e-06,"because","this","is"
"because we are",12,5.13576611721102e-06,"because","we","are"
"because we have",11,4.70778560744344e-06,"because","we","have"
"because we were",5,2.13990254883793e-06,"because","we","were"
"because you are",8,3.42384407814068e-06,"because","you","are"
"because you can",6,2.56788305860551e-06,"because","you","can"
"because you dont",6,2.56788305860551e-06,"because","you","dont"
"because you have",5,2.13990254883793e-06,"because","you","have"
"become one of",10,4.27980509767585e-06,"become","one","of"
"become part of",9,3.85182458790827e-06,"become","part","of"
"been a big",8,3.42384407814068e-06,"been","a","big"
"been a busy",6,2.56788305860551e-06,"been","a","busy"
"been a few",5,2.13990254883793e-06,"been","a","few"
"been a good",9,3.85182458790827e-06,"been","a","good"
"been a great",8,3.42384407814068e-06,"been","a","great"
"been a little",8,3.42384407814068e-06,"been","a","little"
"been a long",25,1.06995127441896e-05,"been","a","long"
"been a lot",10,4.27980509767585e-06,"been","a","lot"
"been a part",6,2.56788305860551e-06,"been","a","part"
"been a very",8,3.42384407814068e-06,"been","a","very"
"been a week",5,2.13990254883793e-06,"been","a","week"
"been a while",18,7.70364917581653e-06,"been","a","while"
"been a year",6,2.56788305860551e-06,"been","a","year"
"been able to",49,2.09710449786117e-05,"been","able","to"
"been accused of",6,2.56788305860551e-06,"been","accused","of"
"been affected by",5,2.13990254883793e-06,"been","affected","by"
"been allowed to",5,2.13990254883793e-06,"been","allowed","to"
"been around for",6,2.56788305860551e-06,"been","around","for"
"been asked to",5,2.13990254883793e-06,"been","asked","to"
"been at the",7,2.9958635683731e-06,"been","at","the"
"been charged with",12,5.13576611721102e-06,"been","charged","with"
"been doing it",5,2.13990254883793e-06,"been","doing","it"
"been done in",8,3.42384407814068e-06,"been","done","in"
"been going on",8,3.42384407814068e-06,"been","going","on"
"been in a",11,4.70778560744344e-06,"been","in","a"
"been in the",20,8.5596101953517e-06,"been","in","the"
"been invited to",5,2.13990254883793e-06,"been","invited","to"
"been known to",11,4.70778560744344e-06,"been","known","to"
"been linked to",5,2.13990254883793e-06,"been","linked","to"
"been listening to",6,2.56788305860551e-06,"been","listening","to"
"been looking for",9,3.85182458790827e-06,"been","looking","for"
"been looking forward",5,2.13990254883793e-06,"been","looking","forward"
"been meaning to",5,2.13990254883793e-06,"been","meaning","to"
"been on a",13,5.56374662697861e-06,"been","on","a"
"been on the",16,6.84768815628136e-06,"been","on","the"
"been on twitter",8,3.42384407814068e-06,"been","on","twitter"
"been one of",13,5.56374662697861e-06,"been","one","of"
"been out of",9,3.85182458790827e-06,"been","out","of"
"been part of",8,3.42384407814068e-06,"been","part","of"
"been removed from",5,2.13990254883793e-06,"been","removed","from"
"been shown to",5,2.13990254883793e-06,"been","shown","to"
"been so busy",5,2.13990254883793e-06,"been","so","busy"
"been stuck in",5,2.13990254883793e-06,"been","stuck","in"
"been such a",5,2.13990254883793e-06,"been","such","a"
"been talking about",11,4.70778560744344e-06,"been","talking","about"
"been the best",6,2.56788305860551e-06,"been","the","best"
"been the most",6,2.56788305860551e-06,"been","the","most"
"been the same",6,2.56788305860551e-06,"been","the","same"
